"","KOPT-K1.DMSO.1","KOPT-K1.DMSO.2","KOPT-K1.DMSO.3","HPB-ALL.DMSO.1","HPB-ALL.DMSO.2","HPB-ALL.DMSO.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","HPB-ALL.SAHM1.1","HPB-ALL.SAHM1.2","HPB-ALL.SAHM1.3"
"SPTY2D1",7.23197868279707,7.35245499918607,7.23545775813501,8.20777060301657,7.63434934847892,7.85368889468411,6.76318907445464,6.36322122029096,6.83909191854241,8.40505368074656,8.4126612436456,8.15653020951247
"CSNK2A1",4.37300959091346,4.5640447827518,4.52384231762184,6.27166674352135,5.3837327803533,5.08010122663747,3.88199115516581,4.1696311557707,3.96369067954764,6.06639781136035,6.37979921784743,6.32239218747268
"DPY19L3",6.41111962244216,5.94559386788815,5.50813315076521,6.55687217813736,6.14724451460369,6.65805123340642,4.86736024208855,4.65994070699816,5.04365292457229,6.41020245179255,6.68309721669768,6.54627462917088
"CTBS",8.01540887745723,8.38637944948175,8.24247952755136,6.36323015187089,5.97672907222451,6.19270214520106,7.69489870857379,7.80342534499216,7.64022393292617,7.07369626040357,7.2267589990833,7.06737436928374
"TTC30B",4.00557163025529,4.45896582216973,4.31359448586866,5.81913364308291,5.19705361215296,5.28568113809593,3.81874005140514,3.6911655821788,3.62674913761826,5.89812121089417,5.91371161613638,5.99126671376302
"ZNF595",7.20140700098078,6.84117797247533,6.9298723712512,4.07645166771041,4.34774109549338,3.87042759427952,7.95124685234539,8.14992957659398,8.31378998352857,4.16793700866864,4.05302825589452,3.65479080743658
"CREBRF",6.88342510789669,6.83407526225853,6.6254134148349,5.73535714620709,5.17276672784849,5.23511112728468,6.14759795781372,5.96866858740593,6.24208824307539,6.63311777753999,6.70532574207286,6.78658117399953
"CYP1A2",6.80354548307138,6.51385376554399,6.90064735856194,5.76257866521888,5.95636488319191,6.01493946765319,7.67832164110948,7.82294097967928,7.83680355409352,5.88025756971151,5.88424492244331,5.7868074893064
"ESCO2",8.77886357439782,8.94052567035588,8.92442454435536,9.29263034723298,8.32838696328918,8.47732731804871,8.50740238329515,8.7447424148018,9.00946286228601,9.6594309833413,9.58745251108124,9.55397728476411
"LRATD2",6.15354128547037,6.18215244885478,5.96411425604356,7.5277584223622,7.37405144992037,7.68436257571768,5.40722593005132,5.54093351587049,5.25678367222462,8.15997346799834,8.31416930817193,8.1533222807808
"RASEF",11.5495212530475,11.2044403131336,11.1993161494528,8.68290298488748,8.42548130389207,8.31546523219102,12.3644160362393,12.2750052502506,12.4005549468293,8.80384227585054,8.60066619056507,8.66901256173833
"PRUNE2",5.05773004669838,4.92490263763566,4.71443601996529,5.63549979773871,5.47330318955421,5.6309592823028,4.37051202253638,3.92538507536135,4.33317468362828,6.03962811710571,5.9195453381074,6.06632061712871
"PGBD4",4.54638500684023,4.75002771471078,5.02433734089738,5.29544869358568,4.20407551439507,4.35086441924447,3.99691145386802,4.23602092088963,4.37930262110439,5.46708702074383,5.59813218998933,5.24657769476453
"DBT",5.90505391168214,5.93845968725953,5.92537648096533,6.13945500576543,5.76877229975731,5.98477987847299,5.17783816394787,5.3259356236949,5.32388242290887,6.34867571705647,6.34826843307056,6.46037133959344
"ZNF320",7.75568427707229,7.97508036067308,7.70056706968898,8.15766004391126,7.58012119962803,8.18326199008305,6.93387669741944,6.92029194066264,6.97864914692685,7.87315435877474,8.20548447622955,8.27609086176767
"DDIT3",8.67088153405088,8.59768069428289,8.69400356521218,7.6539205834073,7.75950669324451,7.65787333293904,7.68442782437991,7.7488196974142,7.54984600205162,8.41260291026457,8.30659231761961,8.2587011268427
"FAM171B",6.90331997902805,6.71187809989126,6.56389606890046,4.13436920407624,3.85266983686329,4.16905006637962,5.9609593984706,6.02497076956534,5.83476557227148,4.05405079473166,4.52829274153702,4.2201683795656
"DDX6",5.27567074871607,6.16609008076882,5.79111198949232,5.76257866521888,4.43313441586042,4.61380890257389,4.63278296179407,5.30404272627505,5.33393222083305,6.00103357361422,6.1554333433764,5.90473152677912
"DMXL1",8.63636285830646,8.58844272721563,8.44698374618,8.53476713927544,8.40607023358733,8.50303672194528,7.53797296674804,7.51289688394904,7.76889310923223,8.54801912612704,8.85337203526834,8.85656221387981
"SPATA5",6.52695214941096,6.53854598566152,6.56329953838866,7.96983348898599,7.88137777077717,7.77172781799665,5.50444834688782,4.95323718665501,5.70086013175009,8.09475007864261,8.0901054065835,8.07040380253845
"RASSF6",3.20062369427411,3.74573482648371,3.64618958922049,5.08962007149,4.7436859444652,4.94861489397686,3.43199212528101,3.25865484134275,3.73797459000124,6.49948600495982,6.89992686519357,6.712497010873
"TIMM8A",5.08389720592212,5.44009717495594,4.81635198582502,3.39379310549966,3.15400571552117,3.24172554136904,6.34344914682654,6.86844023290621,6.67593326247742,3.56168188691506,3.58460775447925,3.42310274742164
"ZNF800",8.5239364544265,8.49786247448229,8.5317488295421,8.37030572596465,7.25387362929902,7.30756773449708,7.71135737282282,7.89893389959712,8.32483554880981,8.85757463866673,8.7033065881812,8.65599281028208
"FUT11",4.40564969343128,4.83919412263853,4.46558423842224,6.67681723640733,6.4625815227421,6.35291604720294,4.27442264414818,4.38201774637478,4.62010614964516,5.65375332399012,5.45980847582993,5.33971775840717
"AGA",7.35384299504766,7.44700739857247,7.63048192001496,7.68735637197394,7.36915337601,7.72305331533167,6.60008321096157,6.29732013160599,6.52844276347521,7.8153600890399,8.0982215826569,8.09562916300863
"DTX1",8.43391733987018,8.34999324383403,8.22407090665322,7.56555329667935,7.73808097235813,7.68908473887768,7.32106174333278,7.67713631842548,7.42761799336514,6.47258939192661,6.33598122172886,6.29390911473503
"ABCA1",3.84016114442565,3.6782565176206,3.74959599279329,6.62429065188047,6.31771687397164,6.68618796028425,4.66245371409785,4.67065856155813,4.31421956069411,5.74014661659849,5.55611000055854,5.84509633304864
"EGR1",8.92378159999856,9.19510095855261,8.96324095590603,4.85670771069935,5.07512759249938,4.94557569730866,8.38418399713192,8.38469257440434,8.45121185545921,5.82071333513552,5.72880890002457,5.83204590300575
"ZNF585A",6.49215574622628,6.43190906942582,6.43980500529591,6.43703254046069,6.21099839788492,6.3634226132739,5.50735406660871,5.58128280841911,5.58847430403879,6.84121619280968,6.8599669514041,6.67778127553459
"SPNS3",7.91843802727819,7.87285546052506,7.58076212284897,4.46152657130594,4.92973789003145,4.83559954585691,6.44438720880965,6.17679268284034,6.59958583316808,5.45660357083303,5.52712586536406,5.2451837600691
"RAB12",4.60644029471145,4.66410439869932,4.59787366346366,6.02321922177721,4.90641054778975,4.766163045542,4.15672952999623,4.12493641694941,3.79917362829739,6.94177643822123,6.62965101802964,6.69430623007606
"HACD2",7.62784706286004,7.73283255260021,7.70304227376044,8.43727113163892,7.53038001104997,7.73034617051013,6.91958592909901,7.26035842560995,7.29102496356912,8.43468000275007,8.43083630583613,8.42850176316078
"SMIM14",5.10780968534658,5.55974559734668,5.53543512397365,6.39557722187337,5.85743773262092,5.97087390535508,5.18741899201416,5.38977105823729,5.47342750448271,7.15518283199736,6.92029194066264,7.03239791487762
"TMEM268",7.12544442012711,7.31998988915382,7.08263010433586,7.60210116500839,7.68164901790608,7.67173039229984,6.16903946904913,5.9026005457212,6.23295026297794,7.76158261367509,7.74540647716825,7.65787333293905
"EPAS1",7.65949814426185,7.99539499143213,7.86315629197086,3.80171576227804,3.79297863421343,3.99887650646237,6.44588666890157,6.33470329926838,6.56865243913911,3.53333768389163,3.7233736440185,3.72724575143606
"HIPK1",7.43730679434158,7.76279877907961,7.62793955201632,8.46881766931009,7.84765324860143,7.81860636376148,7.1697672223698,7.18614288037172,7.50148245418368,9.03706751516531,8.76088665246976,8.89708306618403
"AK4",5.79476405526844,5.51097994326946,5.64881800580737,5.76408106084014,5.37924130635874,5.06085096534041,5.70896858789674,4.87312887511214,5.13386153055,3.79565623938335,4.34438920912282,4.02371682553449
"EPRS",9.08897351724359,9.05872539174887,9.04791599629993,9.8448309587497,10.1466856893425,9.88518466014945,7.88484846317459,8.09998290275383,8.07538636825775,9.64316214363419,9.81260049782882,9.66256968490537
"ERN1",9.09995028272487,8.90467562577004,8.84925702124071,7.45630780519847,7.42783357524902,7.49987410097874,8.43879890577806,8.2724291389449,8.3845794027581,7.89475677764517,7.89627767773186,8.02607760217477
"EWSR1",6.93632963912984,6.93429449126207,6.94221776941931,6.99946895670877,6.20438022603512,6.00964343230269,6.19214754990784,6.24992362477279,6.43980500529591,7.27188015184861,7.28676358530493,7.16395084104211
"ALCAM",5.45404023573679,5.35712197347413,5.37669979699931,6.06758074637186,5.56231076292437,5.78124747074733,4.72291134813627,4.98847675822529,5.07384755140733,6.3559241714516,6.33346259068344,6.35992024860062
"FANCD2",6.77524729954131,6.50210763242885,6.24516881840161,7.19808179494941,6.77409524099873,7.01141594691623,5.83645170124706,5.89800631400635,5.42173782823676,7.33131498440299,7.19934801500118,7.40500147641997
